movie_id,title,release_date,budget,revenue,genres,production_companies,production_countries,languages,popularity,runtime,vote_average,vote_count,poster_url
5,Four Rooms,1995-12-09,4000000.0,4257354.0,Comedy,"Miramax, A Band Apart",United States of America,English,2.7119,98,5.87,2723,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
6,Judgment Night,1993-10-15,21000000.0,12136938.0,"Action, Crime, Thriller","Largo Entertainment, JVC, Universal Pictures","Japan, United States of America",English,1.7039,109,6.5,357,https://image.tmdb.org/t/p/w500/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg
11,Star Wars,1977-05-25,11000000.0,775398007.0,"Adventure, Action, Science Fiction","Lucasfilm Ltd., 20th Century Fox",United States of America,English,16.8045,121,8.205,21446,https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg
12,Finding Nemo,2003-05-30,94000000.0,940335536.0,"Animation, Family",Pixar,United States of America,English,16.609,100,7.817,19884,https://image.tmdb.org/t/p/w500/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg
13,Forrest Gump,1994-06-23,55000000.0,677387716.0,"Comedy, Drama, Romance","Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions",United States of America,English,20.4914,142,8.5,28585,https://image.tmdb.org/t/p/w500/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
14,American Beauty,1999-09-15,15000000.0,356296601.0,Drama,"DreamWorks Pictures, Jinks/Cohen Company",United States of America,English,11.089,122,8.005,12533,https://image.tmdb.org/t/p/w500/wby9315QzVKdW9BonAefg8jGTTb.jpg
15,Citizen Kane,1941-04-17,839727.0,23218000.0,"Mystery, Drama","Mercury Productions, RKO Radio Pictures",United States of America,English,5.3089,119,8.0,5740,https://image.tmdb.org/t/p/w500/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg
16,Dancer in the Dark,2000-09-01,12500000.0,40061153.0,"Drama, Crime","Zentropa Entertainments, DR, SVT Drama, ARTE, France 3 Cinéma, Blind Spot Pictures, Liberator Productions, Íslenska kvikmyndasamsteypan, Pain Unlimited Filmproduktion, Trust Film Svenska, Cinematograph, What Else?, ARTE France Cinéma, Film i Väst, WDR","Argentina, Denmark, Finland, France, Germany, Iceland, Italy, Netherlands, Norway, Sweden, United Kingdom, United States of America",English,3.0101,140,7.9,1885,https://image.tmdb.org/t/p/w500/pWzOfTJRZHPNO1VNrMnNFqRcJwg.jpg
18,The Fifth Element,1997-05-02,90000000.0,263920180.0,"Science Fiction, Action, Adventure",Gaumont,France,"English, Svenska, Deutsch",11.8302,126,7.557,11183,https://image.tmdb.org/t/p/w500/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg
19,Metropolis,1927-02-06,5300000.0,1350322.0,"Drama, Science Fiction",UFA,Germany,No Language,3.8644,153,8.098,2927,https://image.tmdb.org/t/p/w500/vZIJxGnjcswPCAa52jhbl01FQkV.jpg
